"","year","ccode","civilwar"
"1",1946,145,1
"3",1947,145,1
"4",1948,145,1
"5",1949,145,1
"6",1950,145,1
"7",1951,145,1
"8",1952,145,1
"16",1953,145,1
"17",1954,145,1
"18",1955,145,1
"19",1956,145,1
"20",1957,145,1
"21",1958,145,1
"22",1959,145,1
"23",1960,145,1
"24",1961,145,1
"25",1962,145,1
"26",1963,145,1
"27",1964,145,1
"28",1965,145,1
"29",1966,145,1
"30",1967,145,1
"31",1946,710,1
"32",1947,710,1
"33",1948,710,1
"34",1949,710,1
"35",1950,710,1
"36",1951,710,1
"37",1952,710,1
"38",1953,710,1
"39",1954,710,1
"40",1955,710,1
"41",1956,710,1
"42",1957,710,1
"43",1958,710,1
"44",1959,710,1
"45",1960,710,1
"46",1961,710,1
"47",1962,710,1
"48",1963,710,1
"49",1964,710,1
"50",1965,710,1
"51",1966,710,1
"52",1967,710,1
"53",1968,710,1
"54",1969,710,1
"55",1970,710,1
"56",1971,710,1
"57",1972,710,1
"58",1973,710,1
"59",1974,710,1
"60",1975,710,1
"61",1976,710,1
"62",1977,710,1
"63",1978,710,1
"64",1979,710,1
"65",1980,710,1
"66",1981,710,1
"67",1982,710,1
"68",1983,710,1
"69",1984,710,1
"70",1985,710,1
"71",1986,710,1
"72",1987,710,1
"73",1988,710,1
"74",1989,710,1
"75",1990,710,1
"76",1991,710,1
"77",1992,710,1
"78",1993,710,1
"79",1994,710,1
"80",1995,710,1
"81",1996,710,1
"82",1997,710,1
"83",1998,710,1
"84",1999,710,1
"85",2000,710,1
"86",2001,710,1
"87",2002,710,1
"88",2003,710,1
"89",2004,710,1
"90",2005,710,1
"91",2006,710,1
"92",2007,710,1
"93",2008,710,1
"94",2009,710,1
"95",2010,710,1
"96",2011,710,1
"97",2012,710,1
"98",2013,710,1
"99",2014,710,1
"100",2015,710,1
"101",2016,710,1
"106",1946,350,1
"107",1947,350,1
"108",1948,350,1
"109",1949,350,1
"110",1950,350,1
"111",1951,350,1
"112",1952,350,1
"113",1953,350,1
"114",1954,350,1
"115",1955,350,1
"116",1956,350,1
"117",1957,350,1
"118",1958,350,1
"119",1959,350,1
"120",1960,350,1
"121",1961,350,1
"122",1962,350,1
"123",1963,350,1
"124",1964,350,1
"125",1965,350,1
"126",1966,350,1
"127",1967,350,1
"128",1968,350,1
"129",1969,350,1
"130",1970,350,1
"131",1971,350,1
"132",1972,350,1
"133",1973,350,1
"134",1974,350,1
"135",1975,350,1
"136",1976,350,1
"137",1977,350,1
"138",1978,350,1
"139",1979,350,1
"140",1980,350,1
"141",1981,350,1
"142",1982,350,1
"143",1983,350,1
"144",1984,350,1
"145",1985,350,1
"146",1986,350,1
"147",1987,350,1
"148",1988,350,1
"149",1989,350,1
"150",1990,350,1
"151",1991,350,1
"152",1992,350,1
"153",1993,350,1
"154",1994,350,1
"155",1995,350,1
"156",1996,350,1
"157",1997,350,1
"158",1998,350,1
"159",1999,350,1
"160",2000,350,1
"161",2001,350,1
"162",2002,350,1
"163",2003,350,1
"164",2004,350,1
"165",2005,350,1
"166",2006,350,1
"167",2007,350,1
"168",2008,350,1
"169",2009,350,1
"170",2010,350,1
"171",2011,350,1
"172",2012,350,1
"173",2013,350,1
"174",2014,350,1
"175",2015,350,1
"176",2016,350,1
"181",1946,630,1
"183",1947,630,1
"184",1948,630,1
"185",1949,630,1
"186",1950,630,1
"187",1951,630,1
"188",1952,630,1
"189",1953,630,1
"190",1954,630,1
"191",1955,630,1
"192",1956,630,1
"193",1957,630,1
"194",1958,630,1
"195",1959,630,1
"196",1960,630,1
"197",1961,630,1
"198",1962,630,1
"199",1963,630,1
"200",1964,630,1
"201",1965,630,1
"202",1966,630,1
"203",1967,630,1
"204",1968,630,1
"205",1969,630,1
"206",1970,630,1
"207",1971,630,1
"208",1972,630,1
"209",1973,630,1
"210",1974,630,1
"211",1975,630,1
"212",1976,630,1
"213",1977,630,1
"214",1978,630,1
"215",1979,630,1
"216",1980,630,1
"217",1981,630,1
"218",1982,630,1
"219",1983,630,1
"220",1984,630,1
"221",1985,630,1
"222",1986,630,1
"223",1987,630,1
"224",1988,630,1
"225",1989,630,1
"226",1990,630,1
"227",1991,630,1
"228",1992,630,1
"229",1993,630,1
"230",1994,630,1
"231",1995,630,1
"232",1996,630,1
"233",1997,630,1
"234",1998,630,1
"235",1999,630,1
"236",2000,630,1
"237",2001,630,1
"238",2002,630,1
"239",2003,630,1
"240",2004,630,1
"241",2005,630,1
"242",2006,630,1
"243",2007,630,1
"244",2008,630,1
"245",2009,630,1
"246",2010,630,1
"247",2011,630,1
"248",2012,630,1
"249",2013,630,1
"250",2014,630,1
"251",2015,630,1
"252",2016,630,1
"463",1945,630,1
"465",1946,840,1
"466",1947,840,1
"467",1948,840,1
"468",1949,840,1
"469",1950,840,1
"470",1951,840,1
"471",1952,840,1
"472",1953,840,1
"473",1954,840,1
"474",1955,840,1
"475",1956,840,1
"476",1957,840,1
"477",1958,840,1
"478",1959,840,1
"479",1960,840,1
"480",1961,840,1
"481",1962,840,1
"482",1963,840,1
"483",1964,840,1
"484",1965,840,1
"485",1966,840,1
"486",1967,840,1
"487",1968,840,1
"488",1969,840,1
"489",1970,840,1
"490",1971,840,1
"491",1972,840,1
"492",1973,840,1
"493",1974,840,1
"494",1975,840,1
"495",1976,840,1
"496",1977,840,1
"497",1978,840,1
"498",1979,840,1
"499",1980,840,1
"500",1981,840,1
"501",1982,840,1
"502",1983,840,1
"503",1984,840,1
"504",1985,840,1
"505",1986,840,1
"506",1987,840,1
"507",1988,840,1
"508",1989,840,1
"509",1990,840,1
"510",1991,840,1
"511",1992,840,1
"512",1993,840,1
"513",1994,840,1
"514",1995,840,1
"515",1996,840,1
