"","year","ccode","intlwar"
"1",1946,220,1
"2",1946,339,1
"3",1948,750,1
"5",1949,750,1
"6",1950,750,1
"7",1951,750,1
"8",1952,750,1
"9",1953,750,1
"10",1954,750,1
"11",1955,750,1
"12",1956,750,1
"13",1957,750,1
"14",1958,750,1
"15",1959,750,1
"16",1960,750,1
"17",1961,750,1
"18",1962,750,1
"19",1963,750,1
"20",1964,750,1
"21",1965,750,1
"22",1966,750,1
"23",1967,750,1
"24",1968,750,1
"25",1969,750,1
"26",1970,750,1
"27",1971,750,1
"28",1972,750,1
"29",1973,750,1
"30",1974,750,1
"31",1975,750,1
"32",1976,750,1
"33",1977,750,1
"34",1978,750,1
"35",1979,750,1
"36",1980,750,1
"37",1981,750,1
"38",1982,750,1
"39",1983,750,1
"40",1984,750,1
"41",1985,750,1
"42",1986,750,1
"43",1987,750,1
"44",1988,750,1
"45",1989,750,1
"46",1990,750,1
"47",1991,750,1
"48",1992,750,1
"49",1993,750,1
"50",1994,750,1
"51",1995,750,1
"52",1996,750,1
"53",1997,750,1
"54",1998,750,1
"55",1999,750,1
"56",2000,750,1
"57",2001,750,1
"58",2002,750,1
"59",2003,750,1
"60",2004,750,1
"61",2005,750,1
"62",2006,750,1
"63",2007,750,1
"64",2008,750,1
"65",2009,750,1
"66",2010,750,1
"67",2011,750,1
"68",2012,750,1
"69",2013,750,1
"70",2014,750,1
"71",2015,750,1
"72",2016,750,1
"294",1948,651,1
"295",1949,651,1
"296",1950,651,1
"297",1951,651,1
"298",1952,651,1
"299",1953,651,1
"300",1954,651,1
"301",1955,651,1
"302",1956,651,1
"303",1957,651,1
"304",1958,651,1
"305",1959,651,1
"306",1960,651,1
"307",1961,651,1
"308",1962,651,1
"309",1963,651,1
"310",1964,651,1
"311",1965,651,1
"312",1966,651,1
"313",1967,651,1
"314",1968,651,1
"315",1969,651,1
"316",1970,651,1
"317",1971,651,1
"318",1972,651,1
"319",1973,651,1
"320",1974,651,1
"321",1975,651,1
"322",1976,651,1
"323",1977,651,1
"324",1978,651,1
"325",1979,651,1
"326",1980,651,1
"327",1981,651,1
"328",1982,651,1
"329",1983,651,1
"330",1984,651,1
"331",1985,651,1
"332",1986,651,1
"333",1987,651,1
"334",1988,651,1
"335",1989,651,1
"336",1990,651,1
"337",1991,651,1
"338",1992,651,1
"339",1993,651,1
"340",1994,651,1
"341",1995,651,1
"342",1996,651,1
"343",1997,651,1
"344",1998,651,1
"345",1999,651,1
"346",2000,651,1
"347",2001,651,1
"348",2002,651,1
"349",2003,651,1
"350",2004,651,1
"351",2005,651,1
"352",2006,651,1
"353",2007,651,1
"354",2008,651,1
"355",2009,651,1
"356",2010,651,1
"357",2011,651,1
"358",2012,651,1
"359",2013,651,1
"360",2014,651,1
"361",2015,651,1
"362",2016,651,1
"363",1948,645,1
"364",1949,645,1
"365",1950,645,1
"366",1951,645,1
"367",1952,645,1
"368",1953,645,1
"369",1954,645,1
"370",1955,645,1
"371",1956,645,1
"372",1957,645,1
"373",1958,645,1
"374",1959,645,1
"375",1960,645,1
"376",1961,645,1
"377",1962,645,1
"378",1963,645,1
"379",1964,645,1
"380",1965,645,1
"381",1966,645,1
"382",1967,645,1
"383",1968,645,1
"384",1969,645,1
"385",1970,645,1
"386",1971,645,1
"387",1972,645,1
"388",1973,645,1
"389",1974,645,1
"390",1975,645,1
"391",1976,645,1
"392",1977,645,1
"393",1978,645,1
"394",1979,645,1
"395",1980,645,1
"396",1981,645,1
"397",1982,645,1
"398",1983,645,1
"399",1984,645,1
"400",1985,645,1
"401",1986,645,1
"402",1987,645,1
"403",1988,645,1
"404",1989,645,1
"405",1990,645,1
"406",1991,645,1
"407",1992,645,1
"408",1993,645,1
"409",1994,645,1
"410",1995,645,1
"411",1996,645,1
"412",1997,645,1
"413",1998,645,1
"414",1999,645,1
"415",2000,645,1
"416",2001,645,1
"417",2002,645,1
"418",2003,645,1
"419",2004,645,1
"420",2005,645,1
"421",2006,645,1
"422",2007,645,1
"423",2008,645,1
"424",2009,645,1
"425",2010,645,1
"426",2011,645,1
"427",2012,645,1
"428",2013,645,1
"429",2014,645,1
"430",2015,645,1
"431",2016,645,1
"432",1948,663,1
"433",1949,663,1
"434",1950,663,1
"435",1951,663,1
"436",1952,663,1
"437",1953,663,1
"438",1954,663,1
"439",1955,663,1
"440",1956,663,1
"441",1957,663,1
"442",1958,663,1
"443",1959,663,1
"444",1960,663,1
"445",1961,663,1
"446",1962,663,1
"447",1963,663,1
"448",1964,663,1
"449",1965,663,1
"450",1966,663,1
"451",1967,663,1
"452",1968,663,1
"453",1969,663,1
"454",1970,663,1
"455",1971,663,1
"456",1972,663,1
"457",1973,663,1
"458",1974,663,1
"459",1975,663,1
"460",1976,663,1
"461",1977,663,1
"462",1978,663,1
"463",1979,663,1
"464",1980,663,1
"465",1981,663,1
"466",1982,663,1
"467",1983,663,1
"468",1984,663,1
"469",1985,663,1
"470",1986,663,1
"471",1987,663,1
"472",1988,663,1
"473",1989,663,1
"474",1990,663,1
"475",1991,663,1
"476",1992,663,1
"477",1993,663,1
"478",1994,663,1
"479",1995,663,1
"480",1996,663,1
"481",1997,663,1
"482",1998,663,1
"483",1999,663,1
"484",2000,663,1
"485",2001,663,1
"486",2002,663,1
"487",2003,663,1
"488",2004,663,1
"489",2005,663,1
"490",2006,663,1
"491",2007,663,1
"492",2008,663,1
