"country","abbr","ccode","year","workerr","post.sd"
"United States of America","USA",2,1960,0.6365,0.0388
"United States of America","USA",2,1961,0.6383,0.036
"United States of America","USA",2,1962,0.6422,0.0309
"United States of America","USA",2,1963,0.6447,0.0282
"United States of America","USA",2,1964,0.6468,0.0252
"United States of America","USA",2,1965,0.648,0.024
"United States of America","USA",2,1966,0.65,0.0226
"United States of America","USA",2,1967,0.6522,0.0218
"United States of America","USA",2,1968,0.6539,0.0214
"United States of America","USA",2,1969,0.6549,0.0214
"United States of America","USA",2,1970,0.6553,0.0204
"United States of America","USA",2,1971,0.6564,0.0195
"United States of America","USA",2,1972,0.6576,0.019
"United States of America","USA",2,1973,0.6592,0.0197
"United States of America","USA",2,1974,0.6608,0.0202
"United States of America","USA",2,1975,0.6615,0.0213
"United States of America","USA",2,1976,0.6627,0.0221
"United States of America","USA",2,1977,0.6632,0.0222
"United States of America","USA",2,1978,0.6636,0.0216
"United States of America","USA",2,1979,0.6646,0.0227
"United States of America","USA",2,1980,0.6649,0.0237
"United States of America","USA",2,1981,0.6646,0.0237
"United States of America","USA",2,1982,0.6648,0.0231
"United States of America","USA",2,1983,0.6649,0.0227
"United States of America","USA",2,1984,0.6653,0.0235
"United States of America","USA",2,1985,0.6652,0.0235
"United States of America","USA",2,1986,0.6655,0.0241
"United States of America","USA",2,1987,0.6657,0.0232
"United States of America","USA",2,1988,0.6656,0.0218
"United States of America","USA",2,1989,0.6657,0.0216
"United States of America","USA",2,1990,0.6659,0.0219
"United States of America","USA",2,1991,0.6651,0.0214
"United States of America","USA",2,1992,0.6646,0.0203
"United States of America","USA",2,1993,0.6649,0.0206
"United States of America","USA",2,1994,0.6646,0.021
"United States of America","USA",2,1995,0.6645,0.0214
"United States of America","USA",2,1996,0.6628,0.0214
"United States of America","USA",2,1997,0.6617,0.0213
"United States of America","USA",2,1998,0.6615,0.0214
"United States of America","USA",2,1999,0.6611,0.0216
"United States of America","USA",2,2000,0.6615,0.023
"United States of America","USA",2,2001,0.662,0.023
"United States of America","USA",2,2002,0.6623,0.0226
"United States of America","USA",2,2003,0.6628,0.0226
"United States of America","USA",2,2004,0.6636,0.0234
"United States of America","USA",2,2005,0.6641,0.0238
"United States of America","USA",2,2006,0.6651,0.0239
"United States of America","USA",2,2007,0.6658,0.0231
"United States of America","USA",2,2008,0.6671,0.0235
"United States of America","USA",2,2009,0.6684,0.0235
"United States of America","USA",2,2010,0.67,0.0235
"United States of America","USA",2,2011,0.6717,0.0254
"United States of America","USA",2,2012,0.6734,0.0277
"United States of America","USA",2,2013,0.6737,0.0304
"United States of America","USA",2,2014,0.6735,0.0313
"Canada","CAN",20,1960,0.6211,0.0314
"Canada","CAN",20,1961,0.6215,0.0299
"Canada","CAN",20,1962,0.622,0.0288
"Canada","CAN",20,1963,0.6223,0.0283
"Canada","CAN",20,1964,0.6232,0.027
"Canada","CAN",20,1965,0.6242,0.0266
"Canada","CAN",20,1966,0.6245,0.0266
"Canada","CAN",20,1967,0.6248,0.0265
"Canada","CAN",20,1968,0.6257,0.0255
"Canada","CAN",20,1969,0.6262,0.026
"Canada","CAN",20,1970,0.6262,0.0273
"Canada","CAN",20,1971,0.6264,0.028
"Canada","CAN",20,1972,0.6272,0.0287
"Canada","CAN",20,1973,0.6275,0.0296
"Canada","CAN",20,1974,0.6277,0.0301
"Canada","CAN",20,1975,0.6285,0.0296
"Canada","CAN",20,1976,0.6297,0.0294
"Canada","CAN",20,1977,0.631,0.0295
"Canada","CAN",20,1978,0.6321,0.0297
